Script started on Tue Dec 08 18:39:30 2015
sh-3.00$ m4 a6.m > a6.s
sh-3.00$ gcc a6.s -o a6
sh-3.00$ ./a6 input.bin
x: 0.0000000000           |e^x: 1.0000000000      |e^-x: 1.0000000000
x: 0.1000000000           |e^x: 1.1051709181      |e^-x: 0.9048374180
x: 0.2000000000           |e^x: 1.2214027582      |e^-x: 0.8187307531
x: 0.3000000000           |e^x: 1.3498588076      |e^-x: 0.7408182207
x: 0.4000000000           |e^x: 1.4918246976      |e^-x: 0.6703200460
x: 0.5000000000           |e^x: 1.6487212707      |e^-x: 0.6065306597
x: 0.6000000000           |e^x: 1.8221188004      |e^-x: 0.5488116361
x: 0.7000000000           |e^x: 2.0137527075      |e^-x: 0.4965853038
x: 0.8000000000           |e^x: 2.2255409285      |e^-x: 0.4493289641
x: 0.9000000000           |e^x: 2.4596031112      |e^-x: 0.4065696597
x: 1.0000000000           |e^x: 2.7182818285      |e^-x: 0.3678794412
x: 1.1000000000           |e^x: 3.0041660239      |e^-x: 0.3328710837
x: 1.2000000000           |e^x: 3.3201169227      |e^-x: 0.3011942119
x: 1.3000000000           |e^x: 3.6692966676      |e^-x: 0.2725317930
x: 1.4000000000           |e^x: 4.0551999668      |e^-x: 0.2465969639
x: 1.5000000000           |e^x: 4.4816890703      |e^-x: 0.2231301602
x: 1.6000000000           |e^x: 4.9530324244      |e^-x: 0.2018965180
x: 1.7000000000           |e^x: 5.4739473917      |e^-x: 0.1826835241
x: 1.8000000000           |e^x: 6.0496474644      |e^-x: 0.1652988882
x: 1.9000000000           |e^x: 6.6858944423      |e^-x: 0.1495686192
x: 2.0000000000           |e^x: 7.3890560989      |e^-x: 0.1353352832
x: 2.1000000000           |e^x: 8.1661699126      |e^-x: 0.1224564283
x: 2.2000000000           |e^x: 9.0250134994      |e^-x: 0.1108031584
x: 2.3000000000           |e^x: 9.9741824548      |e^-x: 0.1002588437
x: 2.4000000000           |e^x: 11.0231763806     |e^-x: 0.0907179533
x: 2.5000000000           |e^x: 12.1824939607     |e^-x: 0.0820849986
x: 2.6000000000           |e^x: 13.4637380350     |e^-x: 0.0742735782
x: 2.7000000000           |e^x: 14.8797317249     |e^-x: 0.0672055127
x: 2.8000000000           |e^x: 16.4446467711     |e^-x: 0.0608100626
x: 2.9000000000           |e^x: 18.1741453694     |e^-x: 0.0550232201
x: 3.0000000000           |e^x: 20.0855369232     |e^-x: 0.0497870684
x: 3.1000000000           |e^x: 22.1979512814     |e^-x: 0.0450492024
x: 3.2000000000           |e^x: 24.5325301971     |e^-x: 0.0407622040
x: 3.3000000000           |e^x: 27.1126389207     |e^-x: 0.0368831674
x: 3.4000000000           |e^x: 29.9641000474     |e^-x: 0.0333732700
x: 3.5000000000           |e^x: 33.1154519587     |e^-x: 0.0301973834
x: 3.6000000000           |e^x: 36.5982344437     |e^-x: 0.0273237225
x: 3.7000000000           |e^x: 40.4473043601     |e^-x: 0.0247235265
x: 3.8000000000           |e^x: 44.7011844933     |e^-x: 0.0223707719
x: 3.9000000000           |e^x: 49.4024491055     |e^-x: 0.0202419114
x: 4.0000000000           |e^x: 54.5981500331     |e^-x: 0.0183156389
x: 4.1000000000           |e^x: 60.3402875974     |e^-x: 0.0165726754
x: 4.2000000000           |e^x: 66.6863310409     |e^-x: 0.0149955768
x: 4.3000000000           |e^x: 73.6997936996     |e^-x: 0.0135685590
x: 4.4000000000           |e^x: 81.4508686650     |e^-x: 0.0122773399
x: 4.5000000000           |e^x: 90.0171313005     |e^-x: 0.0111089965
x: 4.6000000000           |e^x: 99.4843156419     |e^-x: 0.0100518357
x: 4.7000000000           |e^x: 109.9471724521    |e^-x: 0.0090952771
x: 4.8000000000           |e^x: 121.5104175187    |e^-x: 0.0082297471
x: 4.9000000000           |e^x: 134.2897796849    |e^-x: 0.0074465831
x: 5.0000000000           |e^x: 148.4131591026    |e^-x: 0.0067379470
x: 5.1000000000           |e^x: 164.0219072999    |e^-x: 0.0060967466
x: 5.2000000000           |e^x: 181.2722418751    |e^-x: 0.0055165644
x: 5.3000000000           |e^x: 200.3368099748    |e^-x: 0.0049915939
x: 5.4000000000           |e^x: 221.4064162042    |e^-x: 0.0045165809
x: 5.5000000000           |e^x: 244.6919322642    |e^-x: 0.0040867714
x: 5.6000000000           |e^x: 270.4264074261    |e^-x: 0.0036978637
x: 5.7000000000           |e^x: 298.8674009671    |e^-x: 0.0033459655
x: 5.8000000000           |e^x: 330.2995599096    |e^-x: 0.0030275547
x: 5.9000000000           |e^x: 365.0374678653    |e^-x: 0.0027394448
x: 6.0000000000           |e^x: 403.4287934927    |e^-x: 0.0024787522
x: 6.1000000000           |e^x: 445.8577700825    |e^-x: 0.0022428677
x: 6.2000000000           |e^x: 492.7490410932    |e^-x: 0.0020294306
x: 6.3000000000           |e^x: 544.5719101259    |e^-x: 0.0018363048
x: 6.4000000000           |e^x: 601.8450378721    |e^-x: 0.0016615573
x: 6.5000000000           |e^x: 665.1416330443    |e^-x: 0.0015034392
x: 6.6000000000           |e^x: 735.0951892420    |e^-x: 0.0013603680
x: 6.7000000000           |e^x: 812.4058251675    |e^-x: 0.0012309119
x: 6.8000000000           |e^x: 897.8472916504    |e^-x: 0.0011137752
x: 6.9000000000           |e^x: 992.2747156050    |e^-x: 0.0010077854
x: 7.0000000000           |e^x: 1096.6331584284           |e^-x: 0.0009118820
x: 7.1000000000           |e^x: 1211.9670744926           |e^-x: 0.0008251049
